Library,Spur.age,Storage.buffer,Astroviridae,Hepadnaviridae,Picornaviridae,Alphaflexiviridae.plant,Betaflexiviridae.plant,Dicistroviridae,Mitoviridae.fungi,Nodaviridae,Permutotetraviridae,Siphoviridae.bacteria
W1,S1,DNA/RNA Shield,0.00E+00,0.00E+00,8.91E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.14E-05,1.46E-06,0.00E+00
W2,S1,RNALater,0.00E+00,2.14E-08,0.00E+00,0.00E+00,2.14E-08,7.50E-08,4.28E-08,2.48E-05,3.90E-06,1.29E-07
W3,S2,DNA/RNA Shield,1.65E-05,3.75E-08,4.66E-06,5.00E-08,0.00E+00,5.43E-06,0.00E+00,2.30E-06,1.04E-04,0.00E+00
W4,S2,RNALater,1.65E-05,9.39E-08,1.25E-06,4.70E-08,0.00E+00,1.53E-06,0.00E+00,2.82E-07,1.86E-04,0.00E+00
W5,S3,DNA/RNA Shield,0.00E+00,3.66E-08,2.27E-07,0.00E+00,0.00E+00,2.07E-06,0.00E+00,2.48E-05,7.66E-05,0.00E+00
W6,S3,RNALater,0.00E+00,2.35E-08,0.00E+00,0.00E+00,0.00E+00,1.58E-05,0.00E+00,1.27E-05,3.89E-05,2.12E-06
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
